,key,latitude,longitude,confirmed_sum,death_sum,recovered_sum,incidence_rate_avg,active_sum,Case-Fatality_Ratio
697,"Wales, United Kingdom",52.1307,-3.7837,20445,1603,0,651.4050850697762,18842,7.840547811200782
698,"Washington, US",47.23378642,-120.71922041538463,81907,2032,0,1135.25615389778,79875,2.4808624415495624
699,"Wellington, New Zealand",-40.9006,174.886,1815,25,1719,37.638164725760866,71,1.3774104683195594
700,"West Bengal, India",23.814082,87.979803,218772,4242,190021,219.63008816556012,24509,1.939004991497998
701,"West Virginia, US",38.81425370672727,-80.6174545132727,13889,311,0,599.2404678796695,13578,2.2391820865433076
702,"Western Australia, Australia",-31.9505,115.8605,662,9,650,25.165361514483386,3,1.3595166163141994
703,"Western, Fiji",-17.7134,178.065,32,2,26,3.5696596775704896,4,6.25
704,"Wisconsin, US",44.395143494861124,-89.79797998097222,97279,1238,0,1172.4140453754853,96041,1.272628213694631
705,"Wyoming, US",43.086885505217396,-107.15324220434782,4780,49,0,801.660984838427,4731,1.0251046025104602
706,"Xinjiang, China",41.1129,85.2401,902,3,899,3.626859670285485,0,0.3325942350332594
707,"Yamagata, Japan",38.448396,140.102154,78,1,76,7.237864050642778,1,1.282051282051282
708,"Yamaguchi, Japan",34.201190000000004,131.573293,195,1,171,14.355800037693177,23,0.5128205128205128
709,"Yamalo-Nenets Autonomous Okrug, Russia",67.1471631,74.3415488,14398,98,13259,2673.48996466418,1041,0.6806500902903181
710,"Yamanashi, Japan",35.612364,138.61148899999998,181,6,168,22.3193366841111,7,3.314917127071823
711,"Yaroslavl Oblast, Russia",57.77819760000001,39.0021095,8041,45,7659,635.3086552409608,337,0.559631886581271
712,"Yucatan, Mexico",20.7099,-89.0943,17222,1506,14630,762.3396594570047,1086,8.74462896295436
713,"Yukon, Canada",64.2823,-135.0,15,0,15,36.515896586980865,0,0.0
714,"Yunnan, China",24.974,101.487,206,2,196,0.42650103519668736,8,0.9708737864077669
715,"Zabaykalsky Krai, Russia",52.248521,115.956325,5481,65,4602,510.9031828681048,814,1.1859149790184274
716,"Zacatecas, Mexico",22.7709,-102.5832,6748,630,5518,404.9384731155178,600,9.336099585062241
717,"Zakarpattia Oblast, Ukraine",48.6208,22.2879,9110,290,4054,724.8556256275847,4766,3.1833150384193196
718,"Zaporizhia Oblast, Ukraine",47.8388,35.1396,2829,42,1075,165.84243737381553,1712,1.4846235418875928
719,"Zeeland, Netherlands",51.47936,3.861559,1210,72,0,315.5248664886515,1138,5.950413223140496
720,"Zemgale, Latvia",56.8796,24.6032,1515,36,1248,80.32013538316681,231,2.376237623762376
721,"Zhejiang, China",29.1832,120.0934,1282,1,1272,2.2346173958514903,9,0.078003120124805
722,"Zhytomyr Oblast, Ukraine",50.2547,28.6587,4931,90,2379,404.1163979796639,2462,1.8251875887243967
723,"Zuid-Holland, Netherlands",51.937835,4.462114,26644,1364,0,718.4196278152752,25280,5.119351448731422
724,"Övörkhangai, Mongolia",46.8625,103.8467,312,0,302,9.517151004242454,10,0.0
725,"Łódź Voivodeship, Poland",51.9194,19.1451,78330,2282,63861,206.9670449965063,12187,2.9133154602323503
